data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,inferior,superior,media,erro
"01/01/2019","SAO PAULO","   0",0.00,0.00,0.00,0.00,0.00,66554.00,0.00,31.80,18.70,24.48,79.25,0.00,"TUE",4,3,3966.00,574.00,2646.00,0.00,4730.00,39507.00,43.00,8.00,1731.00,319.00,374.00,0.00,12651.00,5.00,"Range-21",2172,2262,2217,0.162
"02/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,48132.00,6.70,32.00,21.00,25.86,71.75,0.00,"WED",1,3,2535.00,173.00,1665.00,3.00,2767.00,28695.00,38.00,3.00,999.00,354.00,368.00,0.00,10501.00,31.00,"Range-09",283,302,293,0.796
"04/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,62113.00,37.80,29.40,20.70,23.92,86.75,0.00,"FRI",2,3,3627.00,263.00,2083.00,2.00,5094.00,36872.00,54.00,11.00,1416.00,454.00,496.00,0.00,11707.00,34.00,"Range-09",283,302,293,0.591
",,,,,","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,39068.00,0.00,33.30,20.60,24.86,69.75,0.00,"TUR",1,3,2346.00,161.00,1507.00,1.00,3307.00,21954.00,24.00,2.00,940.00,349.00,344.00,0.00,8108.00,25.00,"Range-09",283,302,293,0.852
"05/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,68422.00,25.60,24.70,20.30,22.40,83.75,0.00,"SAT",3,3,3888.00,323.00,2125.00,5.00,5939.00,40668.00,33.00,2.00,1428.00,471.00,493.00,0.00,13030.00,17.00,"Range-10",302,321,312,0.633
"06/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,54252.00,22.10,29.60,20.10,23.80,80.00,0.00,"SUN",3,3,3678.00,267.00,2117.00,4.00,4739.00,30043.00,33.00,6.00,1273.00,592.00,501.00,0.00,10958.00,41.00,"Range-10",302,321,312,0.623
"07/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,44555.00,15.00,33.50,20.60,27.34,57.75,0.00,"MON",1,3,2134.00,127.00,1724.00,1.00,2578.00,25614.00,15.00,6.00,815.00,348.00,373.00,0.00,10777.00,43.00,"Range-09",283,302,293,0.786
"09/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,43699.00,0.80,34.50,21.60,26.58,65.00,0.00,"WED",1,3,2119.00,107.00,1579.00,3.00,2459.00,26130.00,23.00,9.00,721.00,318.00,311.00,0.00,9893.00,27.00,"Range-09",283,302,293,0.942
"08/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,45339.00,0.00,33.00,21.80,26.16,67.25,0.00,"TUE",1,3,2205.00,155.00,1641.00,1.00,2501.00,25863.00,35.00,1.00,724.00,332.00,286.00,0.00,11561.00,34.00,"Range-09",283,302,293,1.024
"10/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,37743.00,0.00,32.50,22.50,27.22,56.25,0.00,"TUR",1,3,1993.00,130.00,1563.00,3.00,2905.00,21767.00,29.00,2.00,865.00,283.00,316.00,0.00,7844.00,43.00,"Range-09",283,302,293,0.927
"11/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,60366.00,0.00,32.20,20.30,25.06,71.75,0.00,"FRI",2,3,3259.00,270.00,2069.00,6.00,4882.00,36436.00,36.00,9.00,1271.00,344.00,383.00,0.00,11361.00,40.00,"Range-09",283,302,293,0.765
"12/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,65016.00,25.40,30.80,19.80,24.56,78.00,0.00,"SAT",3,3,3418.00,309.00,2089.00,5.00,5693.00,38577.00,29.00,8.00,1365.00,422.00,498.00,0.00,12573.00,30.00,"Range-10",302,321,312,0.627
"13/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,54370.00,0.00,31.50,21.00,24.94,76.00,0.00,"SUN",3,3,3480.00,247.00,2024.00,1.00,4778.00,30568.00,29.00,3.00,1313.00,522.00,489.00,0.00,10880.00,36.00,"Range-10",302,321,312,0.638
"14/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,39716.00,0.00,32.50,21.60,26.00,74.00,0.00,"MON",1,3,2188.00,136.00,1564.00,9.00,2196.00,22617.00,15.00,5.00,701.00,274.00,260.00,0.00,9724.00,27.00,"Range-09",283,302,293,1.127
"15/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,39774.00,0.00,31.80,22.70,26.96,66.00,0.00,"TUE",1,3,1990.00,104.00,1499.00,6.00,2063.00,23375.00,14.00,2.00,662.00,252.00,264.00,0.00,9513.00,30.00,"Range-09",283,302,293,1.110
"17/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,36788.00,3.20,33.70,19.60,24.66,86.00,0.00,"TUR",1,3,2195.00,133.00,1431.00,4.00,2695.00,21517.00,31.00,2.00,788.00,295.00,349.00,0.00,7322.00,26.00,"Range-09",283,302,293,0.840
"16/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,41741.00,8.80,31.00,20.20,23.66,86.00,0.00,"WED",1,3,1970.00,119.00,1419.00,4.00,2114.00,24652.00,18.00,4.00,711.00,261.00,268.00,0.00,10159.00,42.00,"Range-09",283,302,293,1.093
"18/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,61870.00,10.20,32.80,19.50,25.42,77.00,0.00,"FRI",2,3,3137.00,286.00,2157.00,4.00,4432.00,37885.00,37.00,3.00,1368.00,443.00,504.00,0.00,11580.00,34.00,"Range-09",283,302,293,0.581
"19/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,66284.00,0.00,33.40,22.00,26.40,69.00,0.00,"SAT",3,3,3592.00,367.00,2246.00,5.00,5339.00,39484.00,42.00,2.00,1436.00,523.00,639.00,0.00,12559.00,50.00,"Range-10",302,321,312,0.488
"20/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,54507.00,1.00,32.00,22.10,25.82,80.00,0.00,"SUN",3,3,3716.00,308.00,2068.00,3.00,4145.00,30634.00,36.00,6.00,1261.00,713.00,710.00,0.00,10868.00,39.00,"Range-10",302,321,312,0.439
"21/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,41359.00,0.60,33.90,21.80,27.46,74.00,0.00,"MON",1,3,2271.00,146.00,1580.00,0.00,2008.00,24597.00,25.00,5.00,728.00,344.00,433.00,0.00,9190.00,32.00,"Range-09",283,302,293,0.677
"27/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,50158.00,0.00,31.00,19.00,25.24,66.00,0.00,"SUN",3,3,3394.00,242.00,1873.00,3.00,3722.00,28430.00,34.00,5.00,1111.00,682.00,609.00,0.00,10010.00,43.00,"Range-10",302,321,312,0.512
"26/01/2019","SAO PAULO","  10",0.00,0.00,0.00,0.00,0.00,58758.00,23.50,28.70,16.50,20.94,92.00,0.00,"SAT",3,3,3548.00,314.00,1837.00,0.00,4524.00,35306.00,36.00,0.00,1315.00,463.00,614.00,0.00,10783.00,18.00,"Range-10",302,321,312,0.508
"28/01/2019","SAO PAULO","   9",0.00,0.00,0.00,0.00,0.00,36592.00,0.00,34.00,21.30,27.24,72.00,0.00,"MON",1,3,1903.00,133.00,1372.00,0.00,1657.00,21433.00,21.00,4.00,682.00,345.00,445.00,0.00,8558.00,39.00,"Range-09",283,302,293,0.658
