data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,dessert1,desserte,pizzas1,pizzase,beverage1,beveragee,cbmaker1,cbmakere,combos1,combose,sfiha1,sfihae,kit11,kit1e,kit21,kit2e,snack1,snacke,pastas1,pastase,dishes1,dishese,promotion1,promotione,savory1,savorye,salads1,saladse
"09/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,45909.00,9.70,25.50,18.30,21.16,83.00,3.97,"TUE",1,3,1938.00,157.00,1153.00,0.00,479.00,31772.00,12.00,3.00,948.00,356.00,165.00,0.00,8893.00,33.00,"Range-09",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"13/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,68321.00,3.75,26.80,19.00,23.08,64.75,2.40,"SAT",3,3,3062.00,407.00,2083.00,0.00,2080.00,43783.00,33.00,3.00,1891.00,589.00,229.00,0.00,14120.00,41.00,"Range-20",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"14/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,56313.00,3.75,30.40,19.20,23.20,80.00,5.10,"SUN",3,3,3760.00,360.00,1988.00,0.00,1334.00,33867.00,19.00,2.00,1793.00,856.00,308.00,0.00,11964.00,62.00,"Range-18",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"12/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,57792.00,14.80,24.40,19.30,22.22,75.00,0.50,"FRI",2,3,3311.00,398.00,1924.00,0.00,1722.00,35623.00,32.00,4.00,1762.00,529.00,201.00,0.00,12237.00,49.00,"Range-18",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"10/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,49405.00,0.80,29.00,19.00,22.84,78.75,5.30,"WED",1,3,1972.00,163.00,1270.00,0.00,515.00,34514.00,13.00,0.00,959.00,373.00,133.00,0.00,9442.00,51.00,"Range-10",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"11/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,50214.00,18.50,30.20,20.00,23.68,72.50,3.70,"TUR",1,3,2065.00,200.00,1446.00,0.00,521.00,34451.00,8.00,6.00,1103.00,403.00,154.00,0.00,9821.00,36.00,"Range-12",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"04/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,44148.00,12.10,28.50,19.70,22.80,52.25,11.20,"TUR",1,3,1616.00,178.00,1265.00,0.00,506.00,29874.00,17.00,3.00,929.00,463.00,198.00,0.00,9053.00,46.00,"Range-10",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"02/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,46017.00,3.75,28.10,21.60,23.94,78.50,5.00,"TUE",1,3,1851.00,218.00,1357.00,0.00,550.00,29862.00,16.00,2.00,1124.00,575.00,282.00,0.00,10137.00,43.00,"Range-11",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"03/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,50761.00,2.20,25.90,19.80,21.50,87.50,1.30,"WED",1,3,2325.00,200.00,1367.00,0.00,516.00,33616.00,15.00,0.00,1041.00,556.00,235.00,0.00,10845.00,45.00,"Range-12",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"05/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,51493.00,3.75,29.40,17.50,22.84,72.25,10.40,"FRI",2,3,2725.00,370.00,1710.00,0.00,1793.00,31793.00,28.00,2.00,1637.00,407.00,203.00,0.00,10791.00,34.00,"Range-15",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
