"","data","praca","classe","web","ifood","call","android","iphone","total","precipitac","tempmax","tempmin","tempmed","umidade","insolacao","diasemana","diasem","mes","desserts","pizzas","beverage","cbmaker","combos","sfiha","kit1","kit2","snack","pastas","dishes","promotion","savory","salads","range","dessert1","desserte","pizzas1","pizzase","beverage1","beveragee","cbmaker1","cbmakere","combos1","combose","sfiha1","sfihae","kit11","kit1e","kit21","kit2e","snack1","snacke","pastas1","pastase","dishes1","dishese","promotion1","promotione","savory1","savorye","salads1","saladse","precipita1","tempmax1","tempmin1","tempmed1","insolacao1","umidade1"
"1","09/01/2018","SAO PAULO",NA,0,0,0,0,0,45909,9.7,25.5,18.3,21.16,83,0,"TUE",1,3,1938,157,1153,0,479,31772,12,3,948,356,165,0,8893,33,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","13/01/2018","SAO PAULO",NA,0,0,0,0,0,68321,0,26.8,19,23.08,64.75,2.4,"SAT",3,3,3062,407,2083,0,2080,43783,33,3,1891,589,229,0,14120,41,"Range-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","14/01/2018","SAO PAULO",NA,0,0,0,0,0,56313,0,30.4,19.2,23.2,80,5.1,"SUN",2,3,3760,360,1988,0,1334,33867,19,2,1793,856,308,0,11964,62,"Range-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","12/01/2018","SAO PAULO",NA,0,0,0,0,0,57792,14.8,24.4,19.3,22.22,75,0.5,"FRI",3,3,3311,398,1924,0,1722,35623,32,4,1762,529,201,0,12237,49,"Range-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","10/01/2018","SAO PAULO",NA,0,0,0,0,0,49405,0.8,29,19,22.84,78.75,5.3,"WED",1,3,1972,163,1270,0,515,34514,13,0,959,373,133,0,9442,51,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","11/01/2018","SAO PAULO",NA,0,0,0,0,0,50214,18.5,30.2,20,23.68,72.5,3.7,"TUR",1,3,2065,200,1446,0,521,34451,8,6,1103,403,154,0,9821,36,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","04/01/2018","SAO PAULO",NA,0,0,0,0,0,44148,12.1,28.5,19.7,22.8,52.25,11.2,"TUR",1,3,1616,178,1265,0,506,29874,17,3,929,463,198,0,9053,46,"Range-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","02/01/2018","SAO PAULO",NA,0,0,0,0,0,46017,0,28.1,21.6,23.94,78.5,5,"TUE",1,3,1851,218,1357,0,550,29862,16,2,1124,575,282,0,10137,43,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","03/01/2018","SAO PAULO",NA,0,0,0,0,0,50761,2.2,25.9,19.8,21.5,87.5,1.3,"WED",1,3,2325,200,1367,0,516,33616,15,0,1041,556,235,0,10845,45,"Range-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","05/01/2018","SAO PAULO",NA,0,0,0,0,0,51493,0,29.4,17.5,22.84,72.25,10.4,"FRI",3,3,2725,370,1710,0,1793,31793,28,2,1637,407,203,0,10791,34,"Range-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","01/01/2018","SAO PAULO",NA,0,0,0,0,0,55797,26,29.2,19.3,24.36,72.75,10.1,"MON",1,3,2394,541,1782,0,733,37479,10,0,1388,494,189,0,10765,22,"Range-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","06/01/2018","SAO PAULO",NA,0,0,0,0,0,62420,0,27.9,19.9,22.42,76.75,1.9,"SAT",3,3,3051,447,1969,0,2149,38770,14,2,1757,540,251,0,13426,44,"Range-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","07/01/2018","SAO PAULO",NA,0,0,0,0,0,60417,5,20.3,16.4,18.56,89.25,0,"SUN",2,3,4203,369,2058,0,1605,35344,18,4,1953,1012,371,0,13424,56,"Range-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","08/01/2018","SAO PAULO",NA,0,0,0,0,0,53409,34.2,21.4,16.4,18.76,93.25,0,"MON",1,3,2131,197,1595,0,597,36847,24,4,1137,461,179,0,10197,40,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","15/01/2018","SAO PAULO",NA,0,0,0,0,0,45894,6,29.8,19.8,25.16,68,4.4,"MON",1,3,1929,230,1399,0,476,30960,9,1,1052,410,172,0,9211,45,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","19/01/2018","SAO PAULO",NA,0,0,0,0,0,63317,12,28.8,21,23.56,83,0.3,"FRI",3,3,3372,389,2184,0,1946,39528,21,2,1880,576,404,0,12973,42,"Range-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","18/01/2018","SAO PAULO",NA,0,0,0,0,0,53269,0,31.6,22.3,27.12,78,4.9,"TUR",1,3,2155,189,1630,0,597,36885,17,2,1229,455,179,0,9887,44,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","16/01/2018","SAO PAULO",NA,0,0,0,0,0,44691,1,29.2,19.8,24.56,76,3,"TUE",1,3,1835,177,1265,0,436,30187,15,2,995,416,161,0,9172,30,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","17/01/2018","SAO PAULO",NA,0,0,0,0,0,49582,5.8,30.8,20.8,25.28,77,6.2,"WED",1,3,1817,187,1366,0,472,34325,4,0,1043,357,158,0,9818,35,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","20/01/2018","SAO PAULO",NA,0,0,0,0,0,72647,2,29,20.2,22.72,90,2,"SAT",3,3,3251,531,2303,0,2196,45266,20,1,2108,640,569,0,15705,57,"Range-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","21/01/2018","SAO PAULO",NA,0,0,0,0,0,55849,22,30.2,19.6,23.2,85,5.1,"SUN",2,3,3510,385,2057,0,1371,33106,12,2,1735,838,515,0,12259,59,"Range-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","22/01/2018","SAO PAULO",NA,0,0,0,0,0,48770,8.8,31.8,19.6,25.2,70,8.8,"MON",1,3,1750,195,1507,0,543,33842,15,0,1021,429,308,0,9127,33,"Range-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","23/01/2018","SAO PAULO",NA,0,0,0,0,0,45770,4,32,21,25.3,76,6.6,"TUE",1,3,2110,139,1342,0,460,30646,8,2,940,383,325,0,9366,49,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","24/01/2018","SAO PAULO",NA,0,0,0,0,0,66689,4.2,33.7,20.6,25.92,69,4.6,"WED",1,3,2725,241,1875,0,1471,45532,27,0,1201,384,419,0,12782,32,"Range-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","25/01/2018","SAO PAULO",NA,0,0,0,0,0,84025,0,29.7,20.6,24.26,82,6.2,"TUR",1,3,3605,359,2595,0,2173,56623,32,1,1772,656,755,0,15393,61,"Range-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","26/01/2018","SAO PAULO",NA,0,0,0,0,0,51765,0,24.8,19.8,21.88,85,1.2,"FRI",3,3,3048,349,1904,0,2799,29128,37,5,1626,521,620,0,11692,36,"Range-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","27/01/2018","SAO PAULO",NA,0,0,0,0,0,57982,0.3,25.1,18.5,21.12,85,1,"SAT",3,3,3005,386,1950,0,3126,32931,42,2,1610,590,683,0,13614,43,"Range-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","28/01/2018","SAO PAULO",NA,0,0,0,0,0,47551,0,31.2,19.6,23.96,83,7.2,"SUN",2,3,3191,329,1966,0,2596,25664,36,2,1547,700,700,0,10765,55,"Range-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","29/01/2018","SAO PAULO",NA,0,0,0,0,0,41051,3,25.8,21.4,22.8,91,0.7,"MON",1,3,1891,180,1389,0,1140,26871,22,1,758,376,358,0,8033,32,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","31/01/2018","SAO PAULO",NA,0,0,0,0,0,46244,16.8,25.5,17.2,21.02,78,9.9,"WED",1,3,2122,191,1449,0,1152,29680,13,1,880,370,350,0,10001,35,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","30/01/2018","SAO PAULO",NA,0,0,0,0,0,44406,35.1,21.8,18.2,19.8,85,0,"TUE",1,3,2027,146,1460,0,1143,28110,22,1,898,400,403,0,9755,41,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","01/02/2018","SAO PAULO",NA,0,0,0,0,0,44952,0,27.3,18.3,21.88,71,9.5,"TUR",1,1,1956,182,1451,0,1209,29415,17,1,950,377,401,0,8956,37,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","02/02/2018","SAO PAULO",NA,0,0,0,0,0,55679,0,27.8,18.6,22.36,71,4.3,"FRI",3,1,2944,374,2221,0,3112,30660,34,2,1745,505,647,0,13393,42,"Range-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","03/02/2018","SAO PAULO",NA,0,0,0,0,0,64654,0,25.9,18.1,20.86,72.75,7.4,"SAT",3,1,3346,472,2323,0,3920,36622,55,1,1874,660,752,0,14577,52,"Range-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","04/02/2018","SAO PAULO",NA,0,0,0,0,0,53530,0,25.7,16.7,20.84,71.75,5.4,"SUN",2,1,3569,387,2132,0,2903,28283,48,4,1605,900,811,0,12839,49,"Range-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","05/02/2018","SAO PAULO",NA,0,0,0,0,0,38919,0,25.4,18.2,21.08,74.75,5.1,"MON",1,1,1693,174,1310,0,1099,23955,11,3,798,445,384,0,9005,42,"Range-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","06/02/2018","SAO PAULO",NA,0,0,0,0,0,41083,0,24.4,17.7,20.82,78,0.5,"TUE",1,1,1847,161,1356,0,1133,25637,26,2,789,425,320,0,9360,27,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","08/02/2018","SAO PAULO",NA,0,0,0,0,0,50309,0,29.6,17.3,23.56,62.25,7.2,"TUR",1,1,2144,195,1612,0,1353,31841,19,2,1064,439,458,0,11135,47,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","09/02/2018","SAO PAULO",NA,0,0,0,0,0,62127,1.4,32.8,19.3,26.18,53.5,8.3,"FRI",3,1,3267,400,2387,0,3504,34491,31,5,1895,620,697,0,14793,37,"Range-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
