data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,dessert1,desserte,pizzas1,pizzase,beverage1,beveragee,cbmaker1,cbmakere,combos1,combose,sfiha1,sfihae,kit11,kit1e,kit21,kit2e,snack1,snacke,pastas1,pastase,dishes1,dishese,promotion1,promotione,savory1,savorye,salads1,saladse
"02/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,65565.00,0.50,31.40,21.30,24.48,83.75,6.80,"FRI",3,2,4362.00,403.00,2491.00,0.00,3453.00,35648.00,34.00,5.00,1726.00,564.00,659.00,545.00,15632.00,43.00,"Range-31",4349,0.0030,888,-1.2035,2616,-0.0502,18,0.0000,5701,0.0000,32826,0.08,50,0.0000,8,0.0000,1616,0.0637,538,0.0461,589,0.1062,3188,0.0000,12925,0.1732,35,0.1860
"03/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,69873.00,4.20,29.50,20.00,23.74,77.00,6.80,"SAT",3,2,4288.00,440.00,2374.00,0.00,3750.00,38108.00,41.00,2.00,1816.00,755.00,854.00,618.00,16782.00,45.00,"Range-30",4349,-0.0142,888,-1.0182,2616,-0.1019,18,0.0000,5701,0.0000,30128,0.21,50,0.0000,8,0.0000,1616,0.1101,538,0.2874,589,0.3103,3188,0.0000,12925,0.2298,35,0.2222
"09/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,58334.00,0.40,26.80,19.20,22.08,77.25,3.40,"FRI",3,2,3715.00,406.00,2200.00,0.00,3667.00,31791.00,52.00,11.00,1602.00,493.00,539.00,942.00,12875.00,41.00,"Range-26",4349,-0.1707,888,-1.1872,2616,-0.1891,18,0.0000,5701,0.0000,28468,0.10,50,0.0000,8,0.0000,1616,-0.0087,538,-0.0913,589,-0.0928,3188,0.0000,12925,-0.0039,35,0.1463
"10/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,68737.00,0.00,27.50,20.10,22.44,84.50,2.30,"SAT",3,2,4639.00,472.00,2484.00,0.00,4496.00,38143.00,59.00,7.00,1856.00,707.00,724.00,1034.00,14066.00,50.00,"Range-33",4349,0.0625,888,-0.8814,2616,-0.0531,18,0.0000,5701,0.0000,30336,0.20,50,0.0000,8,0.0000,1616,0.1293,538,0.2390,589,0.1865,3188,0.0000,12925,0.0811,35,0.3000
"17/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,74821.00,0.00,29.60,21.20,24.24,71.25,6.70,"SAT",3,2,4615.00,2059.00,2714.00,0.00,3990.00,34670.00,54.00,3.00,1524.00,634.00,673.00,10376.00,13462.00,47.00,"Range-33",4349,0.0576,888,0.5687,2616,0.0361,18,0.0000,5701,0.0000,32619,0.06,50,0.0000,8,0.0000,1616,-0.0604,538,0.1514,589,0.1248,3188,0.0000,12925,0.0399,35,0.2553
"16/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,67749.00,0.00,30.50,22.40,25.26,72.50,7.30,"FRI",3,2,4534.00,1690.00,2503.00,0.00,3346.00,31460.00,56.00,9.00,1385.00,528.00,643.00,8234.00,13324.00,37.00,"Range-32",4349,0.0408,888,0.4746,2616,-0.0451,18,0.0000,5701,0.0000,35109,-0.12,50,0.0000,8,0.0000,1616,-0.1668,538,-0.0189,589,0.0840,3188,0.0000,12925,0.0299,35,0.0541
"23/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,68841.00,0.00,30.00,20.20,23.88,75.25,6.00,"FRI",3,2,4238.00,1963.00,2439.00,0.00,3545.00,32168.00,56.00,9.00,1444.00,499.00,674.00,9291.00,12482.00,33.00,"Range-30",4349,-0.0262,888,0.5476,2616,-0.0726,18,0.0000,5701,0.0000,30543,0.05,50,0.0000,8,0.0000,1616,-0.1191,538,-0.0782,589,0.1261,3188,0.0000,12925,-0.0355,35,-0.0606
"24/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,77276.00,0.00,30.30,20.10,25.02,67.50,10.60,"SAT",3,2,4564.00,2421.00,2666.00,0.00,4072.00,35616.00,62.00,6.00,1531.00,609.00,742.00,10858.00,14076.00,53.00,"Range-32",4349,0.0471,888,0.6332,2616,0.0188,18,0.0000,5701,0.0000,30336,0.15,50,0.0000,8,0.0000,1616,-0.0555,538,0.1166,589,0.2062,3188,0.0000,12925,0.0818,35,0.3396
"30/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,69412.00,1.50,27.80,19.60,22.44,80.50,6.50,"FRI",3,2,4436.00,2634.00,2760.00,0.00,3592.00,27168.00,33.00,9.00,1073.00,810.00,638.00,13446.00,12772.00,41.00,"Range-31",4349,0.0196,888,0.6629,2616,0.0522,18,0.0000,5701,0.0000,29298,-0.08,50,0.0000,8,0.0000,1616,-0.5061,538,0.3358,589,0.0768,3188,0.0000,12925,-0.0120,35,0.1463
"31/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,71156.00,7.00,28.30,19.30,22.48,78.00,4.20,"SAT",3,2,3429.00,2238.00,2284.00,1.00,4129.00,33570.00,51.00,14.00,1445.00,516.00,612.00,10420.00,12418.00,29.00,"Range-23",4349,-0.2683,888,0.6032,2616,-0.1454,18,0.0000,5701,0.0000,28675,0.15,50,0.0000,8,0.0000,1616,-0.1183,538,-0.0426,589,0.0376,3188,0.0000,12925,-0.0408,35,-0.2069
"07/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,68193.00,0.00,28.60,18.00,21.96,72.00,6.50,"SAT",3,2,3640.00,575.00,2772.00,49.00,5655.00,36190.00,37.00,7.00,2216.00,780.00,827.00,0.00,15377.00,68.00,"Range-25",4349,-0.1948,888,-0.5443,2616,0.0563,18,0.0000,5701,0.0000,25977,0.28,50,0.0000,8,0.0000,1616,0.2708,538,0.3103,589,0.2878,3188,0.0000,12925,0.1595,35,0.4853
"06/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,61469.00,0.00,27.20,19.40,22.30,72.00,6.60,"FRI",3,2,3436.00,503.00,2621.00,48.00,4945.00,32648.00,46.00,8.00,2089.00,584.00,685.00,5.00,13819.00,32.00,"Range-24",4349,-0.2657,888,-0.7654,2616,0.0019,18,0.0000,5701,0.0000,28883,0.12,50,0.0000,8,0.0000,1616,0.2264,538,0.0788,589,0.1401,3188,0.0000,12925,0.0647,35,-0.0938
"13/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,60128.00,0.00,29.80,19.30,23.76,65.25,7.70,"FRI",3,2,3720.00,3056.00,2679.00,45.00,4597.00,29624.00,49.00,7.00,1946.00,480.00,657.00,0.00,13217.00,51.00,"Range-26",4349,-0.1691,888,0.7094,2616,0.0235,18,0.0000,5701,0.0000,28675,0.03,50,0.0000,8,0.0000,1616,0.1696,538,-0.1208,589,0.1035,3188,0.0000,12925,0.0221,35,0.3137
